global_id	parent_global_id	id	parent_id	level	article	discussion	timestamp	day	author	parent_author	author_name	parent_author_name	date	text	thread
1	0	1	0	-10	34194757	0	0	0	0	0	0		0	<Climate change>	
2	1	2	1	-9	34194757	0	0	0	0	0	0	0	0	<Talk:Climate change/Archive 1>	
3	2	3	2	-8	34194757	0	0	0	0	0	0	0	0	==Remember purpose of article==	Remember purpose of article
4	3	4	3	0	34194757	0	-1	-1	-1	0	-1	0	-1	([[User:William M. Connolley|William M. Connolley]] 20:07 16 May 2003 (UTC)) This page appears to be a somewhat poor relation to the [[global warming]] page. I've edited it a lot, and moved sme text (about historical proxies) to the [[historical temperature record]] page.   <LF>   There is still much room for improvement. Sometimes, the page veers off into material more natural for the global warming page, forgetting the distinction at the head.   <LF>	Remember purpose of article
5	2	5	2	-8	34194757	0	0	0	0	0	0	0	0	==Internal forcing section==	Internal forcing section
6	5	6	5	1	34194757	0	-1	-1	-1	0	-1	0	-1	([[User:William M. Connolley|William M. Connolley]] 19:20 1 Jul 2003 (UTC)) I've made internal forcing into its own section, and expanded the bit about climate being chaotic: that piece has long annoyed me and I've finally (as I see it...) corrected it. Also: add link to 1000 y T record (Mann) after &quot;recovery from LIA&quot; comment.   <LF>	Internal forcing section
7	5	7	5	1	34194757	0	18345275	1416	-1	0	-1	0	19:35, Nov 17, 2004 (UTC)	:Thanks, doc. I must have thinking of a previous version. [[User:Ed Poor|--user:Ed Poor]] [[user talk:Ed Poor|(talk)]]	Internal forcing section
8	2	8	2	-8	34194757	0	0	0	0	0	0	0	0	==Soon and Baliumas==	Soon and Baliumas
9	8	9	8	1	34194757	0	-1	-1	-1	0	-1	0	-1	([[User:William M. Connolley|William M. Connolley]] 23:09, 9 Aug 2003 (UTC)) Begin to roll back some regrettable skeptic additions by S W Wilco. Remove   <LF>   ref to Soon and Baliumas (since their paper is junk); and since the tar link   <LF>   provides a 1000y timescale anyway. Remove &quot;5% ghg&quot; bit because thats std skeptic flimflam; remove note re anthropogenic water vapour because water vapour has such a short atmos lifetime that its irrelevant. Add note that the &quot;missing&quot; 50% is *presumably* going into oceans and forests but this is still somewhat obscure. Essentially revert the entirety of his rewritten evaluation section since so much of it was wrong.   <LF>	Soon and Baliumas
10	8	10	8	1	34194757	0	17676129	952	1	0	SEWilco	0	3:09, 11 Aug 2003 (UTC)	:	Soon and Baliumas
11	10	11	10	2	34194757	0	-1	-1	-1	1	-1	SEWilco	-1	* Can you be more specific about how the [http://www.marshall.org/article.php?id=132 Soon and Baliumas report] is junk?  It mentions some specific issues with Mann's work rather than only &quot;junk&quot;.   <LF>	Soon and Baliumas
12	11	12	11	3	34194757	0	-1	-1	-1	-1	-1	-1	-1	::([[User:William M. Connolley|William M. Connolley]] 08:45, 11 Aug 2003 (UTC)) How about the fact that the editor-in-chief of the journal it was published in, 'climate research', resigned in protest? [http://w3g.gkss.de/G/Mitarbeiter/storch/]   <LF>	Soon and Baliumas
13	12	13	12	4	34194757	0	-1	-1	-1	-1	-1	-1	-1	::: ([[User:SEWilco|SEWilco]]) The editor resigned because &quot;the problem is that the methodological basis for such a conclusion was simply not given&quot;.  The version in that journal is much shorter than the Energy and Environment &quot;A Reappraisal&quot; version. Does the [http://www.marshall.org/article.php?id=132 Soon and Baliumas Reappraisal] explain the methodology in sufficient additional detail?  I don't know if the CR editor began with the small or large versions.   <LF>	Soon and Baliumas
14	10	14	10	2	34194757	0	-1	-1	-1	1	-1	SEWilco	-1	:::: One presumes that he just didn't think the paper was acceptable. Note that E+E is a very minor journal. I have relied on quotes that the two S+B papers are &quot;nearly identical papers&quot; eg [http://www.agu.org/sci_soc/prrl/prrl0319.html].   <LF>   * Earlier IPCC reports recognized the &quot;Medieval Warm Period&quot; and &quot;Little Ice Age&quot;, but 2001 IPCC 3rd Assessment doubts they were global.  Soon and Baliumas specifically examines if they were global.   <LF>	Soon and Baliumas
15	14	15	14	3	34194757	0	-1	-1	-1	-1	-1	-1	-1	::There *are* doubts as to whether these were global so IPCC is reflecting the science. Did you read what IPCC said? I've added it to the page, since there seems to be doubt...   <LF>	Soon and Baliumas
16	15	16	15	4	34194757	0	-1	-1	-1	-1	-1	-1	-1	::: ([[User:SEWilco|SEWilco]]) Yes, I read what I linked to.  The 2001 IPCC recognizes MWP and LIA were in the North Atlantic area and doubts they were global.  S&amp;B examines if they were global.  S&amp;B issues with Mann are in page 26 of their long report.   <LF>	Soon and Baliumas
17	10	17	10	2	34194757	0	-1	-1	-1	1	-1	SEWilco	-1	:::: OK, I've modded the text again, see if that is now acceptable. Note that a Mann criticism of S+B is at http://w3g.gkss.de/G/Mitarbeiter/storch/pdf/Soon.EosForum20032.pdf and discussed at http://www.agu.org/sci_soc/prrl/prrl0319.html   <LF>   * The Mann &quot;hockey-stick&quot; has great uncertainty and reduced data before 1400.  Got more sources of 1,000y?   <LF>	Soon and Baliumas
18	17	18	17	3	34194757	0	-1	-1	-1	-1	-1	-1	-1	::I dislike the term HS and don't use it. But to answer your Q: I'm not aware of sources other than those Mann uses, and *neither has anyone else* or they would be using them.   <LF>	Soon and Baliumas
19	18	19	18	4	34194757	0	-1	-1	-1	-1	-1	-1	-1	::: ([[User:SEWilco|SEWilco]]) Both S&amp;B versions have a list of sources. Table 1, starting on page 4 (CR pg 92) of the short report.   <LF>   ::: ([[User:SEWilco|SEWilco]]) Page 9 of Mann 99 has the list of proxies.   <LF>	Soon and Baliumas
20	19	20	19	5	34194757	0	-1	-1	-1	-1	-1	-1	-1	:::: OK, what is Mann (and all the others) missing? [http://w3g.gkss.de/G/Mitarbeiter/storch/pdf/Soon.EosForum20032.pdf Mann et al] say that S+B use invalid proxies: specifically, that &quot;SB03 approach which defines a global warm anomaly as a period during which various regions appear to indicate climate anomalies  that can be classified as being either warm, wet OR dry relative to 20th Century condions.   <LF>	Soon and Baliumas
21	19	21	19	5	34194757	0	-1	-1	-1	-1	-1	-1	-1	::::: ([[User:SEWilco|SEWilco]]) I'd have to chase the numbers to be sure, but notice that warmer weather causes different effects in Iowa, a swamp, or a desert.  Warmer, wetter, or drier.  S+B are only trying to detect the anomalies, without having to weave all those proxies into a coherent temperature record.  If the reported results from proxy 123 mentions warmth which meets the requirements, that's a warm point.  Mann has been building an integrated temperatures proxy in one part of the globe, which only showed Europe had warm and cold periods but not if they were global.   <LF>	Soon and Baliumas
22	2	22	2	-8	34194757	0	0	0	0	0	0	0	0	==5% GHG==	5% GHG
23	22	23	22	2	34194757	0	-1	-1	-1	0	-1	0	-1	* 5% ghg is not a relevant fact?  Reporting a &quot;50% increase in murders&quot; should mention if the previous number of murders was 5 or 500.   <LF>	5% GHG
24	23	24	23	3	34194757	0	-1	-1	-1	-1	-1	-1	-1	::This is the standard skeptic stuff (if you didn't know that, you've been fooled). Water vapour is the largest GH gas but its reactive: the quantity of water vapour in the atmos responds to the climate.   <LF>	5% GHG
25	24	25	24	4	34194757	0	-1	-1	-1	-1	-1	-1	-1	::: ([[User:SEWilco|SEWilco]]) And omitting the 95/5% heating effects is standard Global Warming  stuff.  The Climate Change page should not ignore water vapor.   <LF>   ::: And the climate responds to the amount of water vapor.  And CO2 heating is enhanced by water vapor.   <LF>	5% GHG
26	25	26	25	5	34194757	0	-1	-1	-1	-1	-1	-1	-1	:::: Yes, CO2 warming *is* enhanced by water vapour. But consider this: if you halved CO2 tomorrow, the climate would cool, water vapour would precipitate, and in weeks/months a colder state would occur. And remain, cooling slowly. If you halved water vapour, the climate would cool, but water would re-evaporate, and within weeks/months only a small fading anomaly would remain.   <LF>	5% GHG
27	22	27	22	2	34194757	0	-1	-1	-1	0	-1	0	-1	::::: ([[User:SEWilco|SEWilco]]) Without the dense CO2, water vapor might circulate up more freely and increase its effects -- we'd probably be able to find out more easily whether there is negative forcing at certain extremes.  Well, this page doesn't need that much detail, that's what the more specialized pages are for.   <LF>   * Water vapor is irrelevant?  It cycles, but it doesn't all fall out the sky.    <LF>	5% GHG
28	27	28	27	3	34194757	0	-1	-1	-1	-1	-1	-1	-1	:: It has an atmospheric lifetime of about a week (in the trop). If you add more from car exahausts it will just precipitate out.   <LF>	5% GHG
29	28	29	28	4	34194757	0	-1	-1	-1	-1	-1	-1	-1	::: ([[User:SEWilco|SEWilco]]} Some does precipitate, but it is random and uneven.  The effects of water vapor can't be ignored and should be mentioned.   <LF>	5% GHG
30	29	30	29	5	34194757	0	-1	-1	-1	-1	-1	-1	-1	:::: Mention it if you want, but do so accurately.   <LF>	5% GHG
31	29	31	29	5	34194757	0	-1	-1	-1	-1	-1	-1	-1	::::: [[User:SEWilco|SEWilco]] ''I put water vapor notes in [[Greenhouse effect]].  Current numbers can go there, with change info being elsewhere.''   <LF>	5% GHG
32	2	32	2	-8	34194757	0	0	0	0	0	0	0	0	==MWP/LIA==	MWP/LIA
33	32	33	32	0	34194757	0	-1	-1	-1	0	-1	0	-1	([[User:William M. Connolley|William M. Connolley]] 16:49, 11 Aug 2003 (UTC)) Really, the MWP/LIA stuff should mostly go into the hist t record page. ([[User:William M. Connolley|William M. Connolley]] 21:57, 11 Aug 2003 (UTC)) Well, I've put the text into LIA and MWP pages which existed anyway. The section is now called &quot;examples of change due to natural factors&quot; which makes more sense, and is headed by the 100kyr ice age cycle, since that is better understood.   <LF>   ([[User:SEWilco|SEWilco]] 08:25, 12 Aug 2003 (UTC)) It's falling together nicely.  Good thing this is not Tetris.   <LF>	MWP/LIA
34	2	34	2	-8	34194757	0	0	0	0	0	0	0	0	==How Many Bulls?==	How Many Bulls?
35	34	35	34	0	34194757	0	-1	-1	1	0	SEWilco	0	7:22, 9 Sep 2003 (EDT)	&quot;Methane is mainly produced by cattle and by emissions of landfills.&quot;   <LF>   Anyone have a reference to how modern methane generation is different from termites, prairie-covering herds, and swamps?	How Many Bulls?
36	35	36	35	2	34194757	0	-1	-1	-1	1	-1	SEWilco	-1	: ([[User:William M. Connolley|William M. Connolley]] 17:40, 9 Sep 2003 (EDT)) It is, of course, in the IPCC report. I won't spoil your fun by telling you exactly where, but for a hint try chapter R U O F. Uncle Ed can have fun demonstrating SEPPs quality by finding the equivalent info from them, I'm sure.   <LF>	How Many Bulls?
37	35	37	35	2	34194757	0	17719203	982	1	1	SEWilco	SEWilco	1:03, 10 Sep 2003 (UTC)	:: Chapter 4[http://www.grida.no/climate/ipcc_tar/wg1/134.htm#4211] has some historical level info, and current values by source.  I was wondering about historical values by source.  Let's see.. each bison on alfalfa feed creates about 210L/day [http://www.deer.rr.ualberta.ca/research/digitaldeer/bion/methane.htm], which is near the low end of cattle [http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&amp;db=PubMed&amp;list_uids=8567486&amp;dopt=Abstract&amp;holding=f1000] (top end is from dairy cattle), so inefficient feed in the wild probably makes them similar in methane production.  However, the maximum estimate of 70,000,000 bison [http://www.bisoncentral.com/history/history.asp] is less than the 97,000,000 cattle[http://www.nass.usda.gov:81/ipedb/] in the USA.  So current ruminant production of methane is probably significantly larger than the native emissions in North America.  I don't know the native termite population in the world before agriculture, nor marshes and other sources.	How Many Bulls?
38	35	38	35	1	34194757	0	17720834	983	1	1	SEWilco	SEWilco	4:14, 11 Sep 2003 (UTC)	: Well, I didn't mention any historical info.  I just updated the current methane sources.  Landfills don't seem to be in the same league as the other sources.  As glacial lakes are temporary, becoming swamps, I wonder what happens when all the swamps dry up.	How Many Bulls?
39	34	39	34	0	34194757	0	-1	-1	-1	0	-1	0	-1	([[User:William M. Connolley|William M. Connolley]] 08:31, 11 Sep 2003 (UTC)) I've rephrased (deleted non-essential material) so the anthro GHG section is neutral (removed &quot;some theorists&quot; - we can't agree on this; I'd assert &quot;essentially all&quot;, and insist on adding &quot;and experimentalists, too&quot;). The argument about how much/who is better elsewhere.   <LF>	How Many Bulls?
40	2	40	2	-8	34194757	0	0	0	0	0	0	0	0	==Radiative Forcing==	Radiative Forcing
41	40	41	40	1	34194757	0	-1	-1	-1	0	-1	0	-1	:Anthropogenic emissions of greenhouse gases, stratospheric ozone depletion, and solar radiation have positive radiative forcing, whereas [[aerosol]]s and land use changes have negative radiative forcing.   <LF>   (Source: [[IPCC]])   <LF>   Perhaps it would be better to say that the United Nations ''claims'' that &quot;Anthropogenic emissions of greenhouse gases...have positive radiative forcing&quot; -- until it becomes a matter of general agreement. Or, if it is already &quot;generally agreed&quot;, please cite a source which asserts there is general agreement. (We could, of course, cite Al Gore who said &quot;[[the science is settled]]&quot;), but he MIGHT be a biased source.)   <LF>	Radiative Forcing
42	40	42	40	0	34194757	0	-1	-1	-1	0	-1	0	-1	([[User:William M. Connolley|William M. Connolley]] 19:56, 12 Sep 2003 (UTC)) Lots of edits, most of which revert Ed's.   <LF>   Moving &quot;human factors&quot; down out of its place makes n sense; I've undone it.   <LF>   I've removed &quot;burning coal and running farms&quot; from the anthro section: it ought to say &quot;principally co2 emission from fossil fuel comb&quot; but theres no need to fight that here.   <LF>   Dividing forcing into internal and external isn't controversial so there is no point qualifying it with &quot;some scientists&quot;. (though from a tech point of view internal forcing isn't really forcing but it depends on how you look at it...).   <LF>   Internal factors are not intrinsically complex, so I've removed most of Ed's adjectives from that section too: they added little.   <LF>   Ed: please get out of the habit of calling IPCC &quot;the united nations IPCC&quot;. We don't call SEPP &quot;fred singers SEPP&quot; (to take two organisations taht aren't even vaguley comparable... :-). IPCC isn't the correct ref for this, either.   <LF>   What does &quot;Since the 1970s, scientific ideas about the role of greenhouse gas emissions have varied&quot; mean? That the ideas have varied in time, or that people have disagreed?   <LF>   Revert last-3-decades-warming-anthro: whether you like it or not, Ed, there *is* general scientific agreement about this. This, however, does need some demonstration so I'll put together a page or section about this somewhere soon.   <LF>   I've deleted the points-of-disagree section, since with the above changes it had become essentially empty. I think the discussion of this would be a good idea, but on the global warming page, which is more about *anthro* effects (and deection thereof) whereas this page is supposed to be a less controversial one about just climate change (hard I know).   <LF>	Radiative Forcing
43	40	43	40	0	34194757	0	-1	-1	-1	0	-1	0	-1	([[User:William M. Connolley|William M. Connolley]] 20:39, 12 Sep 2003 (UTC)) I've added a section on attribution. All of the links are to IPCC, hurrah. I haven't attempted to add a skeptic position, on the grounds that... well, I'd just be caricaturing them. I'm sure there are people out there ready to take up the task. I haven't referenced individual statements directly to scientific papers in the interests of readability; but this can be done if desired.   <LF>	Radiative Forcing
44	43	44	43	1	34194757	0	-1	-1	-1	-1	-1	-1	-1	Like it or not:   <LF>   #There is not general agreement on anthropenic forcing   <LF>   #&quot;Consensus&quot; is irrelevant to science; only reproducible results matter.   <LF>   Also, let's not have conflicting or shifting definitions:   <LF>	Radiative Forcing
45	43	45	43	1	34194757	0	17892004	1102	2	-1	Ed Poor	-1	1:04, 8 Jan 2004 (UTC)	:'Climate change' includes natural and anthropogenic forcing; 'global warming' is usually used to mean changes with predominantly anthropogenic forcing.   <LF>   If &quot;climate change&quot; and &quot;global warming&quot; have agreed-upon definitions, let's be consistent between the two articles. I thought the definitions were:   <LF>   *''climate change'' - longterm trends in temperature and weather   <LF>   *''global warming'' - same as climate change, but getting hotter   <LF>   So, [[climate change]] should include both periods of [[global warming]] and global cooling. If anyone in the scientific community or the environmentalist press is using a different definition for either or both terms, we should emphasize and clarify this difference. This encyclopedia is about making things clear - not vague.	Radiative Forcing
46	43	46	43	1	34194757	0	-1	-1	-1	-1	-1	-1	-1	: ([[User:William M. Connolley|William M. Connolley]] 21:44, 8 Jan 2004 (UTC)) Oh dear Ed, and you were doing so well at not editing GW related pages...   <LF>   : Like it or not, there *is general agreement that the recent warming is anthro.  Can you find papers saying otherwise? No? Well I can, and have, found papers saying it is. Hence, reverted.   <LF>   : Re shifting definitions: none of these terms truly have agree meanings. What I wrote at the top of the page is essentially correct, though. GW means, literally, the world getting hotter. But people use it to mean anthro forced. Anything that is GW is also cl ch.   <LF>	Radiative Forcing
47	2	47	2	-8	34194757	0	0	0	0	0	0	0	0	==Soon and Lindzen==	Soon and Lindzen
48	47	48	47	1	34194757	0	-1	-1	-1	0	-1	0	-1	([[User:William M. Connolley|William M. Connolley]] 23:31, 8 Jan 2004 (UTC)) I've put anthro-last-3/4-decades back into general agreement, but qualified that by &quot;in the sci lit&quot;. AFAIK neither Soon now L have written attribution papers, however much they talk in non-rev-lit. Or have I missed some?   <LF>   ([[User:William M. Connolley|William M. Connolley]] 18:43, 12 Jan 2004 (UTC)) I've reverted (mostly) Ed again. Because:   <LF>	Soon and Lindzen
49	47	49	47	1	34194757	0	-1	-1	-1	0	-1	0	-1	: S+B was not about attribution (AFAIK... feel free to quote from it to show me wrong)   <LF>   : Ed clearly wrote his bit in a hurry, how else to explain &quot;There are, however, scientists such as Willie Soon and Richard Lindzen who say that there is insufficient proof of this as yet. It's not clear whether their lengthy article should be called a &quot;paper&quot; or not, but it certainly exists.&quot; which says S+B was written by S+L :-)   <LF>   How about writing an entry for WS, since he's so important?   <LF>   I deleted the link to GWH since this is just a redirect to GW.   <LF>	Soon and Lindzen
50	2	50	2	-8	34194757	0	0	0	0	0	0	0	0	==Journal Editor==	Journal Editor
51	50	51	50	0	34194757	0	17892034	1102	2	0	Ed Poor	0	1:34, 8 Jan 2004 (UTC)	The journal editor did not resign because of any specifically-mentioned methodological problems, but because his publisher wouldn't let him rush into print an EDITORIAL denouncing a peer-reviewed article. He thought he had (or ought to have) enough authority, as an editor, to do that.    <LF>   Sounds like he's saying, if I can't have unilateral control over the contents of the journal, so that it reflects my personal views, I refuse to edit it: grounds for being fired, I'd say, rather than proof that the article in question is unscientific. If the article were in fact unscientific, why doesn't he point out specific errors or problems with it?	Journal Editor
52	51	52	51	1	34194757	0	18345165	1416	-1	2	-1	Ed Poor	17:45, Nov 17, 2004 (UTC)	: ([[User:William M. Connolley|William M. Connolley]] 21:44, 8 Jan 2004 (UTC)) Here you're being silly. von S resigned because he though S+B was a poor article, badly reviewed, and that journal procedures needed tightening up. When the publisher wouldn't let him write an editorial saying so (what is this rubbish about &quot;rushing&quot; anyway; and what happened to editorial independence?) presumably because he would have found it embarssing, von S resigned. Amd several others followed him.   <LF>   I prepared this editorial for Climate Research on 28. July 2003. It was not accepted by the publisher, and therefore I stepped down as Editor-n-Chief on the same day. The editorial has not been published, and I have left Climate Research for good. (For further details, refer to http://w3g.gkss.de/staff/storch/cr.2003.htm) Hans von Storch, 4. August 2003 [http://w3g.gkss.de/G/Mitarbeiter/storch/CR-problem/CR.editorial.pdf]   <LF>   After a conflict with the publisher Otto Kinne of Inter-Research I stepped down on 28. July 2003 as Editor-in-Chief of Climate Research; the reason was that I as newly appointed Editor-in-Chief wanted to make public that the publication of the Soon &amp; Baliunas article was an error, and that the review process at Climate Research would be changed in order to avoid similar failures. ... However, my authority as Editor-in- Chief did obviously not cover the publication of an editorial spelling out the problem. [http://w3g.gkss.de/G/Mitarbeiter/storch/CR-problem/cr.2003.htm]   <LF>   The Editor resigned because publisher wouldn't let him run an editorial denouncing the Soon &amp; Balunias article which had ALREADY PASSED peer review. Sounds like, &quot;if peer review passes an article I disagree with, must be a problem with peer review.&quot; Warmers simply refuse to accept ANY scientific criticism of their pre-formed conclusions; whoever disagrees must be ignorant or cheating. Such shameful prejudice should not be allowed to pollute Wikipedia any longer. [[User:Ed Poor|--user:Ed Poor]] [[user talk:Ed Poor|(talk)]]	Journal Editor
53	2	53	2	-8	34194757	0	0	0	0	0	0	0	0	==Merge with global warming article==	Merge with global warming article
54	53	54	53	0	34194757	0	18164409	1291	2	0	Ed Poor	0	5:09, 15 Jul 2004 (UTC)	I'm planning to list [[climate change]] on VFD, because it looks like a rehash of the [[global warming]] article. Moreover, the term ''climate change'' is just code for '''human-caused global warming''' and I don't think the W should support this use of the term.   <LF>   This article should be replaced with a general survey of changes to world climate as known to geologists and other students of climate. Until then, I'm inclined to delete it.	Merge with global warming article
