rev_id	rev_page	rev_text_id	rev_comment	rev_user	rev_user_text	rev_timestamp	rev_minor_edit	rev_deleted	rev_len	rev_parent_id	rev_sha1
86995	47512	0	stub	62	Mav	20020403222431	1	0	455	0	1c62h56fpjnu5ug3l5kekns16lcpflk
181757	47512	0	home for orphan	0	12.246.119.53	20020606203820	0	0	486	86995	d3ywahml1u30jomrn9csmy6ols9d0ay
387568	47512	0	moving 500 words here, from Global Warming	188	Ed Poor	20020829135656	0	0	3868	181757	9oarwrjmzddufh7zp4h6iqmr2xseiyc
387571	47512	0		0	208.59.128.26	20021026223039	0	0	3879	387568	k4atuip9rog4euidqg76femqt8bk76w
506618	47512	0		0	208.59.128.26	20021026223102	0	0	3868	387571	9oarwrjmzddufh7zp4h6iqmr2xseiyc
927493	47512	0		0	62.211.220.232	20021215181917	1	0	4865	506618	dgsrdj18jbjy1wn52cbtx4j379sdk0v
1027416	47512	0	Many changes, mostly to remove skeptical bias. Move some text to historical temp record.	8072	William M. Connolley	20030516200429	0	0	4153	927493	glksnfnlvtibr1kudpzkfjs35zhnpt1
1027420	47512	0	sp/punct	12741	Trainspotter	20030612142544	1	0	4155	1027416	hihq9macvbx51ipbx3r4708xb8k4y2i
1090536	47512	0	slight rewording; climate models quantify RESPONSE to external factors	12741	Trainspotter	20030612142735	0	0	4179	1027420	ifm1k0u112v6x0ijqtssalc0z1ichlp
1100562	47512	0	link to dutch wiki	0	62.195.251.78	20030628215141	0	0	4206	1090536	qyzxh9zifoe3lwfx8kpeorz5qm3xdrq
1218886	47512	0	Various; see talk.	8072	William M. Connolley	20030701191725	0	0	4945	1100562	afgap91i9vf4ax1wodus1dtgdjrly76
1255663	47512	0	Make Eval section '==' to make the auto-index look nicer; add text to Eval section.	8072	William M. Connolley	20030730193303	0	0	5667	1218886	niypzjsgsqskktd75um440mvzhpxw50
1266358	47512	0	Expanded time scale and relevant uncertainty	18620	SEWilco	20030807163544	0	0	6666	1255663	rz6fhzy2v1satpnvmm92ruw4dpt5lmm
1266396	47512	0	Remove ref to Soon+Baliumas: see talk.	8072	William M. Connolley	20030809224919	0	0	6529	1266358	m74q2072vcekhwjzclrv7gyath8f196
1266422	47512	0	Remove 5%; anthro water vapour; misc.	8072	William M. Connolley	20030809230056	0	0	6312	1266396	ofri58ypoo9j64jye5x7v21vs8l7g6r
1273128	47512	0	Remove Wilco skeptic stuff. See talk...	8072	William M. Connolley	20030809230848	0	0	5740	1266422	7b09kec70ca9yfjtbb4t0fpm5107xus
1273198	47512	0	Corrected globality of Little Ice Age	18620	SEWilco	20030811083217	0	0	6048	1273128	jgo2abtib1b6s7t7n9zv7h8wxgu1evq
1273216	47512	0	Add what IPCC actually said about the global nature of LIA/MWP & note re S+B	8072	William M. Connolley	20030811085609	0	0	6372	1273198	7xrvyp6jprr2ewmkeg6x6pfcd57r6qh
1273302	47512	0	Improved the structure, not the content	18620	SEWilco	20030811090431	1	0	6602	1273216	1jzi7t5czxoenwan991aeuh230e4iwe
1273470	47512	0	Corrected S+B links to CR and E&E (Reappraisal version) - latter has Mann issues	18620	SEWilco	20030811093920	0	0	6760	1273302	q0lk1bqud5nobnjbtby0cd5kqo478bi
1273569	47512	0	Argh! Please DO NOT sub link ext links; that is what wiki refs are for	62	Mav	20030811104742	0	0	6646	1273470	7d42f7x0guidvkkin5tzr9ouhbil8r2
1273762	47512	0	cleaning and linking	18620	SEWilco	20030811111905	1	0	6686	1273569	hd366asy109z3i225tjvwdfc64pkp1d
1274218	47512	0	typo and link to Wikipedia page instead of external	18620	SEWilco	20030811122350	1	0	6696	1273762	npw6a9yvp1y0yz63g73lezepartd345
1274240	47512	0	spelling correction	0	205.216.82.5	20030811143115	0	0	6584	1274218	nab8pjcsfkq9mgo7eaogslkwd7ualxk
1274674	47512	0	fixed accidental italics	4635	Tim Starling	20030811143827	1	0	6635	1274240	4mdtukvk7z16ol0yzxeucm8rcuw0enn
