revision_id	section_name
181757	abstract
387568	abstract
387568	climate change factors
387568	human factors
387568	natural factors
1027416	abstract
1027416	evaluation of the relative importance of various factors
1027416	human factors
1100562	abstract
1255663	climate change factors
1255663	internal factors
1255663	natural factors
1266358	evaluation of the relative importance of various factors
1266358	human factors
1266358	natural factors
1273128	evaluation of the relative importance of various factors
1273128	human factors
1273128	natural factors
1273198	natural factors
1273216	natural factors
1273470	anthropogenic greenhouse gases
1273470	carbon sinks
1273470	evaluation of the relative importance of various factors
1273470	human factors
1273470	medieval warm period and little ice age
1273470	natural factors
1273470	radiative forcing
1273470	solar radiation variability
1273569	medieval warm period and little ice age
1274218	general agreement
1274218	medieval warm period and little ice age
1274240	medieval warm period and little ice age
1274674	medieval warm period and little ice age
1345900	carbon sinks
1345900	carbon sources and sinks
1345900	examples of change due to natural factors
1345900	medieval warm period and little ice age
1418928	anthropogenic greenhouse gases
1422778	human factors
1422853	evaluation of the relative importance of various factors
1422853	radiative forcing
1422853	see also
1423761	evaluation of the relative importance of various factors
1424651	human factors
1424651	points of disagreement
1424651	radiative forcing
1814359	attribution of climate change
1814359	general agreement
1814359	points of disagreement
2114179	attribution of climate change
2114668	areas of disagreement
2114668	general agreement
2114930	areas of disagreement
2117475	general agreement
2139620	areas of disagreement
2667722	areas of disagreement
2667722	attribution of climate change
2667722	attribution of climate change before the past century
2667722	attribution of climate change over the past century
2667722	evaluation of the relative importance of various factors
2667722	general agreement
2667722	see also
2802789	see also
2867817	examples of change due to natural factors
2869311	see also
3393545	see also
3671558	see also
4012237	external links
4012237	global warming episodes in the geological record
4012237	see also
4012237	[[paleocene-eocene thermal maximum]]
4013007	external links
4087477	external links
4518611	external links
4555629	external links
4713312	external links
4738260	examples of change due to natural factors
4738260	solar radiation variability
4917948	examples of change due to natural factors
4917948	external links
4917948	solar radiation variability
5086449	anthropogenic greenhouse gases
5086449	human factors
5122854	solar radiation variability
5134856	external links
5252056	[[paleocene-eocene thermal maximum]]
5391017	[[paleocene-eocene thermal maximum]]
5626044	attribution of climate change over the past century
6412118	external links
6872500	abstract
6872500	attribution of climate change before the past century
6872500	attribution of climate change over the past century
6872500	global warming episodes in the geological record
6872500	see also
6872500	[[paleocene-eocene thermal maximum]]
6913215	see also
6961228	external links
6961228	see also
7111700	external links
7144171	external links
7760587	abstract
7760587	climate change factors
7785063	abstract
7785203	human factors
7785203	internal factors
7785381	human factors
7785381	internal factors
7785451	anthropogenic greenhouse gases
7785451	carbon sources and sinks
7785451	climate change factors
7785451	examples of change due to natural factors
7785451	external links
7785451	headline text
7785451	human factors
7785451	internal factors
7785451	solar radiation variability
7785498	anthropogenic greenhouse gases
7785498	carbon sources and sinks
7785498	climate change factors
7785498	examples of change due to natural factors
7785498	external links
7785498	headline text
7785498	human factors
7785498	internal factors
7785498	solar radiation variability
7785580	evaluation of the relative importance of various factors
7785580	radiative forcing
7886331	evaluation of the relative importance of various factors
7886331	radiative forcing
7895294	related topics
7895294	see also
8038077	related topics
8038077	see also
8281925	climate change factors
8338964	abstract
8499155	abstract
