rev_id	rev_page	rev_text_id	rev_comment	rev_user	rev_user_text	rev_timestamp	rev_minor_edit	rev_deleted	rev_len	rev_parent_id	rev_sha1
221	5042951	0	Automated conversion	0	Conversion script	20020126201916	1	0	18242	254488	iqqq1mucmzkqg4bqmq76kok280scnw4
2244	5042951	0	fix link	32	Dreamyshade	20020130124953	1	0	18243	221	slg8cixah6o88a8mt6fam64s39uzlu2
2275	5042951	0	streamlined and reorganized external sources section	188	Ed Poor	20020130144435	0	0	16306	2244	7cxli8gxg7ns9lj3rajdeyl64t8yyxi
2893	5042951	0	Changed Medieval Warming Period to Medieval Warm Period to link to existing (though stub!) article; believe this to be the accepted term	13	SteveSmith	20020201135246	0	0	16303	2275	oq590exs66h33vefh2xcgz6w2d3ufuc
2897	5042951	0	Changed Medieval Warming Period to Medieval Warm Period to link to existing (though stub!) article; believe this to be the accepted term	13	SteveSmith	20020201135954	0	0	16303	2893	oq590exs66h33vefh2xcgz6w2d3ufuc
2918	5042951	0	Changed Medieval Warming Period to Medieval Warm Period to link to existing (though stub!) article; believe this to be the accepted term	13	SteveSmith	20020201145030	0	0	16303	2897	oq590exs66h33vefh2xcgz6w2d3ufuc
5877	5042951	0	first para, periods of global cooling followed by periods of global warming	188	Ed Poor	20020206071521	0	0	16429	2918	dk5tmu81l0n9xcwxdfma7c3qh9898ip
5880	5042951	0	subheadings for natural and human causes	188	Ed Poor	20020206071844	0	0	16483	5877	igfledvp654ab3l7w07kltuq5sgevsi
20799	5042951	0	IPCC soure for &quot;play an important role in global warming&quot; quote; IPCC created by WMO &amp; UNEP	188	Ed Poor	20020225155115	0	0	16575	5880	ar7fc5w0e1n4uakzwyrgvahvkn2n0eh
25450	5042951	0	Added weather balloon data and other problems with IPCC predictions; some copy-editing; generally removed advocacy of catastrophe hypothesis	188	Ed Poor	20020301083945	0	0	18250	20799	mjjpvc1loz7ie2vw64riohs8qnbir9x
25511	5042951	0	added NASA data which contradicts IPCC predictions	188	Ed Poor	20020308085528	0	0	18829	25450	nr3uql4xd6l1tti2to40k9tx2yb0y7y
25659	5042951	0	copy-edit first few paragraphs, aiming for smoother transition	188	Ed Poor	20020308095415	0	0	18877	25511	65huzyne1e1qco3hd6y4b7mebk5m3g5
