art_id	thread_id	User1	User2	length
1038280	9	Vsmith	167.95.1.164	3
1038280	67	Andrewjlockley	KimDabelsteinPetersen	3
1038280	161	Arthur Rubin	97.87.29.188	3
327311	582	Edbanky	Guettarda	3
327311	582	Edbanky	William M. Connolley	3
327311	592	Osbojos	Raymond arritt	3
327311	618	Ed Poor	DMorpheus	3
327311	618	Ed Poor	DMorpheus	3
327311	667	William M. Connolley	90.8.162.59	3
327311	835	Leladax	Oren0	3
327311	883	Sirwells	195.27.12.230	4
327311	905	Merzul	The Founders Intent	4
327311	960	Sirwells	Nethgirb	3
327311	960	Sirwells	KimDabelsteinPetersen	9
327311	960	Sirwells	KimDabelsteinPetersen	9
327311	960	Sirwells	KimDabelsteinPetersen	3
327311	1054	Lexlex	Raul654	3
327311	1054	Lexlex	Raul654	3
327311	1116	Dragons flight	Stephan Schulz	3
327311	1116	Atmoz	Stephan Schulz	3
327311	1158	Oren0	Short Brigade Harvester Boris	5
327311	1175	Jaymax	Gmb92	3
327311	1239	Oren0	Short Brigade Harvester Boris	3
327311	1253	Adi	Short Brigade Harvester Boris	3
327311	1310	Stephan Schulz	Phase Theory	5
327311	1373	212.200.205.163	Jaymax	5
327311	1373	212.200.205.163	Jaymax	5
327311	1409	Blue Tie	ZuluPapa5	3
327311	1583	CurtisSwain	GoRight	3
327311	1643	KimDabelsteinPetersen	Gavin.collins	3
327311	1643	KimDabelsteinPetersen	Gavin.collins	4
327311	1643	Gavin.collins	Dmcq	3
327311	1643	Gavin.collins	Jaymax	6
327311	1643	KimDabelsteinPetersen	Gavin.collins	4
327311	1713	Dmcq	ZuluPapa5	3
327311	1713	Dmcq	CurtisSwain	3
327311	1827	Dmcq	Stephan Schulz	3
327311	1857	ZuluPapa5	Dmcq	3
327311	1857	ZuluPapa5	Dmcq	4
327311	1857	Dmcq	ZuluPapa5	4
327311	1907	MikeR613	KimDabelsteinPetersen	3
327311	1907	Dmcq	Tony Sidaway	3
327311	1942	Dmcq	209.255.78.138	3
327311	2125	Hans Adler	J. Johnson	3
327311	2137	67.176.220.219	Stephan Schulz	3
327311	2137	67.176.220.219	William M. Connolley	3
327311	2288	Hans Adler	Dmcq	3
327311	2288	Arthur Rubin	Dmcq	3
327311	2288	Arthur Rubin	Jaymax	3
327311	2302	Nigelj	Arthur Rubin	4
327311	2453	J. Johnson	209.255.78.138	3
327311	2453	Dmcq	99.181.150.243	3
327311	2487	J. Johnson	Dmcq	3
327311	2513	Vsmith	Dmcq	3
327311	2625	NewsAndEventsGuy	MastCell	3
327311	2625	NewsAndEventsGuy	98.135.45.17	7
327311	2712	Mik1984	William M. Connolley	3
327311	2712	Dmcq	Mik1984	4
327311	2798	NewsAndEventsGuy	Itsmejudith	3
327311	2798	William M. Connolley	Dmcq	4
327311	2813	Dmcq	William M. Connolley	3
327311	2813	Yopienso	William M. Connolley	3
327311	2813	Yopienso	NewsAndEventsGuy	4
327311	2813	DLH	TouchPoints	3
327311	2813	DLH	TouchPoints	3
327311	2839	J. Johnson	Yopienso	3
327311	2867	NewsAndEventsGuy	Nigelj	3
327311	2867	NewsAndEventsGuy	Nigelj	3
327311	2867	NewsAndEventsGuy	Nigelj	3
327311	2867	NewsAndEventsGuy	Nigelj	3
327311	2867	NewsAndEventsGuy	-1	3
327311	2907	Diego Moya	RobinGrant	3
