article_id	talk_id	thread_id	thread_title	comments	users	users_hindex	max_depth	tree_hindex	chains_num	chains_comments
1038280	0	9	Use of &quot;Geoengineering&quot; versus &quot;Geological Engineering&quot;	5	4	1	4	1	1	1	{user:'Belfrey', children: [{user:'Vsmith', children: [{user:'167.95.1.164', children: [{user:'Vsmith'}{user:'Oberono'}]}]}]}
1038280	36514796	12	Burying charcoal	3	2	1	3	1	0	1	{user:'69.228.235.107', children: [{user:'Phanly', children: [{user:'69.228.235.107'}]}]}
1038280	36514796	16	Speculative POV fantasy masquerading as science	4	3	1	4	1	0	1	{user:'Theo Pardilla', children: [{user:'Andrewjlockley', children: [{user:'William M. Connolley', children: [{user:'Andrewjlockley'}]}]}]}
1038280	36514796	21	Editing without reading	2	1	0	2	1	0	0	{user:'Andrewjlockley', children: [{user:'Andrewjlockley'}]}
1038280	36514796	24	Battleship artillery	25	4	0	12	3	0	1	{user:'Andrewjlockley', children: [{user:'Vsmith', children: [{user:'Andrewjlockley'}]}]}
1038280	36514796	50	Terraforming link	1	1	1	1	1	0	0	{user:'Andrewjlockley'}
1038280	36514796	52	Merge proposal	5	3	1	4	1	0	0	{user:'-1'}
1038280	36514796	58	Other proposal	2	2	1	2	1	0	0	{user:'81.246.135.164', children: [{user:'Andrewjlockley'}]}
1038280	36514796	61	Popular Mechanics	5	4	1	4	1	0	0	{user:'-1'}
1038280	36514796	67	Edit skirmish	20	7	1	10	3	1	3	{user:'Andrewjlockley', children: [{user:'KimDabelsteinPetersen', children: [{user:'Andrewjlockley', children: [{user:'William M. Connolley', children: [{user:'Andrewjlockley', children: [{user:'William M. Connolley'}]}]}]}]}]}
1038280	36514796	88	WMC revert	1	1	1	1	1	0	0	{user:'Andrewjlockley'}
1038280	36514796	90	Geoengineering costs	1	1	1	1	1	0	0	{user:'Enescot'}
1038280	36514796	92	New ref	2	2	1	2	1	0	0	{user:'William M. Connolley', children: [{user:'Tillman'}]}
1038280	36514796	95	Increasing polar land mass	1	1	1	1	1	0	0	{user:'KVDP'}
1038280	36514796	97	IPCC conclusions	1	1	1	1	1	0	0	{user:'Enescot'}
1038280	36514796	99	Add? [http://www.nature.com/nature/journal/v458/n7242/full/4581077a.html &quot;Time to Act&quot;] from [[Nature (journal)]]	2	2	1	2	1	0	0	{user:'99.190.89.224', children: [{user:'Arthur Rubin'}]}
1038280	36514796	102	Add?  [http://www.nature.com/news/2009/090429/full/4581097a.html Climate crunch: Great white hope Geoengineering schemes, ...] from 2009 [[Nature (journal)]]	1	1	1	1	1	0	0	{user:'99.190.89.224'}
1038280	36514796	104	Moral Hazard Fallacy - a whiff of non neutrality.	5	3	1	2	1	0	0	{user:'108.7.11.125'}
1038280	36514796	110	Add [[Bill Gates]] connection to geoengineering projects with [[Intellectual Ventures]] per [[Z Magazine]] June 2010.  See [[Talk:Bill Gates]]?	11	8	1	4	2	0	1	{user:'99.88.229.86', children: [{user:'Arthur Rubin', children: [{user:'99.39.186.123', children: [{user:'Arthur Rubin'}]}]}]}
1038280	36514796	122	To date, no large-scale geoengineering projects have been undertaken.	3	3	1	3	1	0	0	{user:'Pedant', children: [{user:'99.54.137.100', children: [{user:'99.54.136.159'}]}]}
1038280	36514796	126	Add *Eli Kintisch's &quot;Hack the Planet: Science's Best Hope, or Worst Nightmare, for Averting Climate Catastrophe&quot; ISBN 978-0470524268  http://hacktheplanetbook.com/ and ref.s	2	2	1	2	1	0	0	{user:'99.190.88.67', children: [{user:'Arthur Rubin'}]}
1038280	36514796	129	Would [[List of climate change initiatives]] be a See Also for this article, and visa versa?	1	1	1	1	1	0	0	{user:'99.37.85.122'}
1038280	36514796	131	Citation question	2	2	1	2	1	0	0	{user:'Sphilbrick', children: [{user:'Andrewjlockley'}]}
1038280	36514796	134	Copy from http://www.zimbio.com/	4	2	1	2	2	0	0	{user:'Nigelj'}
1038280	36514796	139	Confusing terminology - Geoengineering is more than only climate engineering	2	2	1	2	1	0	0	{user:'Robert Hack', children: [{user:'108.73.113.97'}]}
1038280	36514796	142	Isn't the addition of [[Weather]] to Portal box|Energy|Weather ... &quot;obvious&quot;?	5	3	2	4	1	0	1	{user:'99.181.146.194', children: [{user:'Arthur Rubin', children: [{user:'97.87.29.188'}{user:'97.87.29.188', children: [{user:'Arthur Rubin'}]}]}]}
