revision_id	section_name
2244	abstract
2275	causes
2918	causes
29003	abstract
29003	causes
29003	evidence for and against the catastrophe hypotheses
29003	global warming catastrophe
29003	human causes
29003	natural causes
29005	global warming catastrophe
29005	human causes
29005	natural causes
29008	human causes
29066	human causes
31286	evidence for and against the catastrophe hypotheses
31286	human causes
45475	human causes
45721	evidence for and against the catastrophe hypotheses
50013	evidence for and against the catastrophe hypotheses
50013	human causes
72455	abstract
72455	evidence for and against the catastrophe hypotheses
72455	global warming catastrophe
72455	will global warming cause a catastrophe?
76444	abstract
76444	arguments for and against the catastrophe hypotheses
76444	evidence for and against the catastrophe hypotheses
76444	temperature measurements
76444	will global warming cause a catastrophe?
86975	abstract
86975	arguments for and against the catastrophe hypotheses
86975	evidence for a current warming period
86975	historical warming periods
86975	human causes
86975	human factors
86975	natural causes
86975	natural factors
86975	temperature measurements
86975	will global warming cause a catastrophe?
92252	human factors
92480	controversy over the current warming period
92480	evidence for a current warming period
92480	historical warming and cooling periods
92480	historical warming periods
103561	controversy over the current warming period
103561	evidence for a current warming period
103561	historical warming and cooling periods
103561	historical warming periods
103961	evidence for a current warming period
116633	abstract
116993	human factors
130865	abstract
130865	historical warming periods
130877	abstract
130877	climate change factors
130877	climate models
130877	evidence for a current warming period
130877	historical warming periods
130877	human factors
130877	natural factors
130877	potential effects
130877	references
130877	the intergovernmental panel on climate change
130877	the united nations framework convention on climate change and the kyoto protocol
181716	evidence for a current warming period
181912	abstract
181912	climate change factors
181912	climate models
181912	evidence against a current warming period
181912	evidence for a current warming period
181912	historical temperature record
181912	historical warming periods
181912	human factors
181912	natural factors
181952	the intergovernmental panel on climate change
187525	abstract
254433	abstract
254433	climate models
254433	evidence against a current warming period
254433	evidence for a current warming period
254433	historical temperature record
254433	potential effects
254433	references
254433	the intergovernmental panel on climate change
254433	the united nations framework convention on climate change and the kyoto protocol
254442	abstract
254442	arguments against global warming
254443	arguments against global warming
254444	abstract
254444	arguments against global warming
254445	abstract
254445	arguments against global warming
254446	arguments against global warming
254447	abstract
254447	arguments against global warming
254455	abstract
254456	abstract
254458	abstract
254466	abstract
254470	abstract
254475	abstract
254477	abstract
254480	abstract
254480	causes
254485	causes
254488	abstract
330174	abstract
330174	causes
330174	climate models
330174	evidence against a current warming period
330174	evidence for a current warming period
330174	historical temperature record
330174	potential effects
330174	references
330174	the intergovernmental panel on climate change
330174	the united nations framework convention on climate change and the kyoto protocol
356579	references
356807	references
522574	abstract
559687	evidence against a current warming period
561801	abstract
574352	abstract
616370	abstract
616477	abstract
616757	abstract
616794	abstract
616794	references
616895	references
623635	abstract
623635	potential effects
623635	the united nations framework convention on climate change and the kyoto protocol
634423	the united nations framework convention on climate change and the kyoto protocol
635399	abstract
637600	abstract
640406	abstract
640406	climate models
640406	evidence against a current warming period
640406	references
642342	references
642342	the united nations framework convention on climate change and the kyoto protocol
642342	the [[kyoto protocol]]
642428	abstract
642428	scientific opinion
642439	scientific opinion
644124	abstract
644841	scientific opinion
645334	scientific opinion
646325	scientific opinion
646352	evidence against a current warming period
646387	the [[kyoto protocol]]
648534	controversy
648534	scientific opinion
648534	the greenhouse gas theory
648534	the solar variation theory
648777	controversy
648777	the solar variation theory
652351	abstract
652351	evidence for a current warming period
661179	abstract
661471	abstract
662480	evidence for a current warming period
662670	abstract
662670	evidence against a current warming period
662921	abstract
667549	historical temperature record
667549	[[historical temperature record]]
674402	controversy
675069	[[historical temperature record]]
806531	evidence against a current warming period
949022	scientific opinion
955987	references
990099	references
990099	see also
1071516	evidence against a current warming period
1071516	the intergovernmental panel on climate change
1071516	the [[kyoto protocol]]
1088155	abstract
1267332	potential effects
1273436	references
1294670	abstract
1294710	abstract
1297594	climate models
1297594	references
1299941	references
1309524	abstract
1310444	abstract
1312980	references
1325002	abstract
1337733	abstract
1337733	evidence against a current warming period
1340396	climate models
1342014	climate models
1344467	climate models
1396910	climate models
1427882	evidence for a current warming period
1428040	the greenhouse gas theory
1449152	the greenhouse gas theory
1468499	evidence against a current warming period
1474393	references
1475557	references
1476074	scientific opinion
1478181	other known surveys
1478181	scientific opinion
1478181	surveys among scientists
1479085	other known surveys
1479085	scientific opinion
1479085	surveys among scientists
1520508	the greenhouse gas theory
1529832	references
1529832	the intergovernmental panel on climate change
1530218	references
1537180	references
1578924	evidence for a current warming period
1580094	abstract
1580094	evidence for a current warming period
1581089	abstract
1586418	abstract
1586418	temperature records
1596254	temperature records
1647906	temperature records
1647906	the greenhouse gas theory
1647906	[[historical temperature record]]
1672426	[[historical temperature record]]
1673044	temperature records
1696492	temperature records
1696731	see also
1792711	temperature records
1871338	temperature records
